Time   ,Temperature ,Humidity ,Pressure ,Altitude ,Acceleration                    ,Gyro                                    ,Magnetometer
 6.603 ,    22.3547 , 37.9708 , 1004.31 , 74.5227 ,"(4.52961, 7.17368, -1.94776)"  ,"(1.73241, -0.567952, -0.304058)"       ,"(38.1175, -64.1625, -34.829)"
 6.928 ,    22.4361 , 37.938  , 1004.41 , 73.5503 ,"(5.30488, 8.61296, -2.34496)"  ,"(-1.321, 1.82603, 0.236099)"           ,"(36.919, -64.4841, -36.3052)"
 7.25  ,    22.4564 , 37.9216 , 1004.46 , 73.117  ,"(5.24746, 8.19541, 0.0155533)" ,"(-1.08734, 0.149967, 0.452804)"        ,"(39.9445, -63.724, -33.3382)"
 7.507 ,    22.4768 ,  0      , 1004.58 ,  0      ,"(0, 0, 0)"                     ,"(0, 0, 0)"                             ,"(0, 0, 0)"
 7.827 ,    22.4818 , 38.0801 , 1004.57 , 72.282  ,"(4.95434, 7.47517, -1.2993)"   ,"(-0.832151, 1.27274, -0.411418)"       ,"(35.7644, -64.8348, -40.4852)"
 8.152 ,    22.4768 , 37.8888 , 1004.63 , 72.1446 ,"(4.84187, 8.34137, -0.32662)"  ,"(-0.681878, 0.326507, 1.06306)"        ,"(36.2613, -66.0333, -33.8644)"
 8.475 ,    22.4768 , 37.867  , 1004.57 , 72.6097 ,"(5.63988, 9.08554, -0.824327)" ,"(0.718072, -0.678519, 0.3233)"         ,"(36.5682, -64.4841, -37.1383)"
 8.799 ,    22.4768 , 37.703  , 1004.52 , 72.6625 ,"(4.55354, 7.29093, -1.18325)"  ,"(0.682489, 0.389427, -0.857655)"       ,"(36.3052, -64.3233, -38.6144)"
 9.259 ,    22.4311 , 37.9216 , 1004.57 , 72.1024 ,"(4.41595, 8.03748, -1.17488)"  ,"(1.68339, 0.156992, -0.111636)"        ,"(37.299, -62.6863, -34.9898)"
 9.592 ,    22.4564 , 38.1074 , 1004.7  , 71.9121 ,"(11.2379, 15.6658, -0.211765)" ,"(-0.312152, -5.0036, 1.6527)"          ,"(25.2558, -63.0517, -53.4493)"
 9.916 ,    22.4564 , 37.9708 , 1004.7  , 71.7007 ,"(3.64666, 5.6674, -3.41216)"   ,"(-1.48654, -2.76966, 0.961654)"        ,"(36.5682, -60.9032, -47.8515)"
10.25  ,    22.4514 , 37.7741 , 1004.75 , 71.4259 ,"(5.09671, 8.04467, -0.915254)" ,"(-1.66369, 1.95278, -0.170279)"        ,"(37.5183, -62.8033, -37.5621)"
10.579 ,    22.4514 , 38.0091 , 1004.74 ,  0      ,"(0, 0, 0)"                     ,"(0, 0, 0)"                             ,"(0, 0, 0)"
10.91  ,    22.4514 , 37.9708 , 1004.73 , 71.352  ,"(4.88494, 9.41455, -2.19182)"  ,"(0.00244346, -1.89628, 0.0557414)"     ,"(33.309, -62.964, -43.3207)"
11.23  ,    22.4463 , 38.1293 , 1004.74 , 71.5528 ,"(4.75214, 8.38445, -1.9681)"   ,"(0.445015, 1.74906, 0.372475)"         ,"(33.6451, -63.0225, -43.0868)"
11.555 ,    22.4412 , 38.1074 , 1004.6  , 72.5991 ,"(5.0979, 7.72522, -1.21316)"   ,"(-0.116981, 0.607811, 0.267864)"       ,"(36.4659, -64.4841, -40.6752)"
11.963 ,    22.4004 ,  0      , 1004.59 ,  0      ,"(0, 0, 0)"                     ,"(0, 0, 0)"                             ,"(0, 0, 0)"
12.319 ,    22.4311 , 38.2276 , 1004.55 , 73.0536 ,"(0, 0, 0)"                     ,"(0, 0, 0)"                             ,"(0, 0, 0)"
12.576 ,    22.426  ,  0      , 1004.48 ,  0      ,"(0, 0, 0)"                     ,"(0, 0, 0)"                             ,"(0, 0, 0)"
12.905 ,    22.4055 , 38.1566 , 1004.42 , 73.7828 ,"(5.37906, 7.95374, -0.4666)"   ,"(-3.60212, -3.50667, 1.87245)"         ,"(27.2873, -60.0263, -53.347)"
13.231 ,    22.4158 , 38.2495 , 1004.48 , 73.1593 ,"(7.28255, 5.21994, 2.74815)"   ,"(-1.29106, -1.25915, 0.481667)"        ,"(12.1163, -54.5601, -64.6156)"
13.565 ,    22.4158 , 38.091  , 1004.49 , 72.821  ,"(7.2012, 5.65783, -1.09232)"   ,"(-2.79165, 4.11005, -0.451277)"        ,"(11.7656, -51.4469, -64.4109)"
13.886 ,    22.4361 , 39.4787 , 1004.56 , 72.2186 ,"(4.09412, -1.83769, 2.60937)"  ,"(2.16353, -3.44742, -1.37643)"         ,"(28.2958, -54.6331, -56.4893)"
14.212 ,    22.4768 , 41.3356 , 1004.75 , 71.0771 ,"(4.74257, 7.58046, -2.26361)"  ,"(-0.362396, 1.18966, -2.03464)"        ,"(26.4542, -48.8892, -64.2502)"
14.535 ,    22.4869 , 41.8107 , 1004.74 , 70.9715 ,"(4.73779, 9.40857, -0.636491)" ,"(-0.184634, -0.456927, 2.88527)"       ,"(19.1026, -43.0868, -66.9833)"
14.996 ,    22.5072 , 42.1331 , 1004.78 , 70.5381 ,"(5.10389, 8.21336, 2.41675)"   ,"(-0.031765, 1.09223, 0.859945)"        ,"(14.5133, -41.0699, -68.5618)"
15.322 ,    22.5785 , 42.0953 , 1004.86 , 69.7032 ,"(2.87617, 4.65643, 1.31486)"   ,"(1.67316, -1.78373, -1.22036)"         ,"(19.3218, -47.6761, -61.5025)"
15.641 ,    22.6547 , 42.1068 , 1004.92 , 69.2593 ,"(16.8036, 15.2937, 1.38066)"   ,"(1.58687, -4.86462, -4.98374)"         ,"(3.11312, -47.7053, -57.7463)"
15.959 ,    22.7105 , 42.0638 , 1004.99 , 68.9951 ,"(6.24048, 6.19023, 2.09013)"   ,"(-1.41003, -1.21532, 1.39079)"         ,"(8.66705, -38.8775, -69.3072)"
16.283 ,    22.7615 , 42.0531 , 1004.99 , 69.1219 ,"(6.16391, 6.3996, 5.9677)"     ,"(-1.95553, -1.3129, 0.346208)"         ,"(9.1786, -38.3806, -72.4788)"
16.606 ,    22.792  , 41.846  , 1004.96 , 69.8828 ,"(5.91027, 6.31824, 3.60359)"   ,"(-0.032834, -0.522137, -0.13439)"      ,"(14.0164, -40.9675, -73.1365)"
16.928 ,    22.8326 , 41.3819 , 1004.85 , 70.5276 ,"(6.47856, 7.30289, -0.149551)" ,"(0.0794125, -1.06962, 0.244652)"       ,"(8.57936, -53.5077, -63.5487)"
17.259 ,    22.8937 , 40.8358 , 1004.81 , 70.6016 ,"(7.21795, 7.76112, 1.64148)"   ,"(0.64767, -0.7871, -0.0555887)"        ,"(7.99474, -54.4139, -63.0663)"
17.717 ,    23.1326 , 48.9992 , 1004.85 , 70.3268 ,"(5.81216, 6.7657, 0.344566)"   ,"(0.461814, 0.393703, -0.237474)"       ,"(8.93014, -56.4893, -62.2332)"
18.039 ,    23.7428 , 55.9999 , 1004.81 , 70.5487 ,"(7.40578, 8.02432, 0.672383)"  ,"(-0.145386, 0.0383318, -0.0621555)"    ,"(8.5209, -56.5478, -63.0517)"
18.362 ,    24.1902 , 60.9411 , 1004.85 , 69.9568 ,"(4.71147, 6.42951, 0.647258)"  ,"(-0.483194, -0.608269, 0.0222966)"     ,"(9.50014, -55.4955, -63.6656)"
18.684 ,    24.4852 , 65.1846 , 1004.85 , 70.2845 ,"(5.94257, 6.92243, 1.37587)"   ,"(0.194408, -0.13271, 0.0178678)"       ,"(9.69015, -55.1301, -62.6863)"
19.004 ,    24.7191 , 68.3293 , 1004.75 , 71.6056 ,"(6.18425, 7.78026, 0.929611)"  ,"(0.0435241, -0.142332, 0.0310014)"     ,"(9.96785, -55.9193, -62.9933)"
19.329 ,    24.8615 , 70.1397 , 1004.65 , 72.1975 ,"(5.58604, 6.86501, 0.104088)"  ,"(-0.373544, -0.298866, 0.0859793)"     ,"(6.10932, -55.8024, -64.4109)"
19.658 ,    25.0039 , 71.9804 , 1004.61 , 72.1658 ,"(6.1675, 7.04327, -0.386441)"  ,"(0.0552833, 0.103083, 0.0125227)"      ,"(6.94241, -55.1885, -65.0833)"
20.111 ,    25.0699 , 73.147  , 1004.63 , 71.9755 ,"(7.02532, 6.54437, 6.30628)"   ,"(0.741896, 1.30298, 0.301462)"         ,"(8.37474, -39.5645, -77.2581)"
20.43  ,    24.9582 , 72.87   , 1004.64 , 71.0243 ,"(4.51765, 5.62313, 6.39123)"   ,"(-0.585209, 0.141873, 0.216704)"       ,"(23.5311, -38.7021, -77.5212)"
20.752 ,    24.7904 , 72.7779 , 1004.73 , 71.3097 ,"(3.58564, 6.53838, 4.45304)"   ,"(0.235489, -0.208458, -0.156076)"      ,"(28.8658, -41.0552, -73.9257)"
21.078 ,    24.6582 , 72.7457 , 1004.77 , 71.1512 ,"(2.72064, 7.87836, 5.15174)"   ,"(0.241292, -0.126602, 1.29366)"        ,"(34.4782, -42.4437, -66.9979)"
21.399 ,    24.5615 , 72.5462 , 1004.74 , 71.3097 ,"(5.05124, 8.77448, 0.418744)"  ,"(1.76341, -0.426384, 0.67577)"         ,"(26.7319, -46.9015, -65.4194)"
21.721 ,    24.4496 , 71.8824 , 1004.73 , 70.8763 ,"(5.6327, 10.9172, 0.45344)"    ,"(2.04961, 5.0036, 0.652862)"           ,"(22.2303, -58.2724, -47.72)"
22.054 ,    24.3123 , 71.5498 , 1004.86 , 70.4324 ,"(13.3125, 16.4961, -0.991824)" ,"(-4.20565, 5.0036, 5.0036)"            ,"(25.3581, -59.4563, -53.0108)"
22.372 ,    24.1141 , 71.3299 , 1004.86 , 70.4641 ,"(11.2498, 9.45523, 2.04586)"   ,"(4.98726, -4.36463, -5.0036)"          ,"(47.72, -58.594, -40.646)"
22.826 ,    23.9412 , 70.8022 , 1004.75 , 70.7707 ,"(12.8387, 13.188, 0.541974)"   ,"(5.0036, -4.91212, -3.03142)"          ,"(40.0322, -61.064, -42.2099)"
23.15  ,    23.9361 , 70.2044 , 1004.8  , 70.1048 ,"(2.42991, 3.83809, -3.98046)"  ,"(-0.760985, -1.68018, -2.57816)"       ,"(35.6182, -57.3224, -54.2677)"
23.472 ,    23.8852 , 70.2989 , 1004.9  , 69.756  ,"(8.84267, 13.2957, 0.0897308)" ,"(-4.13953, 5.0036, 4.44068)"           ,"(22.9611, -64.3525, -42.5314)"
23.796 ,    23.8496 , 70.2739 , 1004.97 , 69.7137 ,"(11.1422, 13.7133, 0.727417)"  ,"(5.0036, -4.25895, 1.50105)"           ,"(37.9129, -64.031, -35.0628)"
24.119 ,    23.809  , 69.7556 , 1004.86 , 70.3479 ,"(4.14078, 0.501296, -3.75194)" ,"(0.628886, -2.37733, -3.88098)"        ,"(47.5592, -48.0854, -61.0055)"
24.451 ,    23.7785 , 69.0624 , 1004.87 , 70.3162 ,"(7.67378, 13.3125, -1.38425)"  ,"(-5.0036, -1.13132, -0.906982)"        ,"(24.0865, -63.6948, -37.5621)"
24.771 ,    23.7123 , 68.1954 , 1004.92 , 69.3861 ,"(10.526, 12.4642, 1.74317)"    ,"(-0.24511, -5.0036, -0.839787)"        ,"(32.2128, -68.0941, -40.2952)"
25.093 ,    23.6717 , 67.3776 , 1005.08 , 68.065  ,"(5.86361, 7.2323, -1.00857)"   ,"(-4.85073, -5.0036, -2.20446)"         ,"(26.2642, -62.2771, -55.0278)"
25.548 ,    23.5902 , 66.6518 , 1005.17 , 67.2723 ,"(5.49511, 6.03111, 0.725025)"  ,"(1.97752, 1.32451, 1.30649)"           ,"(25.6504, -60.1725, -61.7509)"
25.873 ,    23.6209 , 65.2565 , 1005.24 , 67.1772 ,"(7.59242, 6.30389, 3.01256)"   ,"(-0.32162, -0.657749, 0.0638354)"      ,"(15.931, -51.827, -72.9026)"
26.191 ,    23.6311 , 63.9303 , 1005.15 , 68.1495 ,"(6.61854, 7.3663, 1.27537)"    ,"(0.160658, -0.73426, -0.473573)"       ,"(11.7217, -50.7015, -72.8004)"
26.512 ,    23.6311 , 62.5976 , 1005.1  , 67.23   ,"(6.22612, 6.72981, 1.08514)"   ,"(0.0100793, -0.130267, 0.066737)"      ,"(9.85092, -52.9669, -69.9211)"
26.843 ,    23.6717 , 62.5944 , 1005.3  , 65.9089 ,"(6.18425, 7.79581, 0.734596)"  ,"(-0.0335976, -0.0251982, -0.0813978)"  ,"(9.12014, -52.6308, -69.1903)"
27.163 ,    23.7225 , 63.0441 , 1005.35 , 65.2007 ,"(6.75493, 7.18325, -0.325424)" ,"(-0.0546724, -0.194561, 0.151495)"     ,"(8.36013, -52.6893, -69.3803)"
27.481 ,    23.7684 , 62.9375 , 1005.39 , 66.6381 ,"(7.21436, 6.75733, 0.20339)"   ,"(-0.0636827, -0.112246, 0.0920879)"    ,"(7.80473, -52.8062, -69.1318)"
