Time,Temperature,Humidity,Pressure,Altitude,Acceleration,Gyro,Magnetometer
6.623,21.0021,67.8373,984.066,245.647,"(2.96949, -6.37687, -6.6987)","(0.00794125, 0.0253509, 0.0491747)","(-1.57849, 5.10085, 15.9895)"
6.944,21.0938,68.0908,984.093,245.742,"(3.17767, -6.53479, -6.67118)","(-0.0138972, 0.0435241, 0.0143553)","(-1.4031, 5.32008, 15.4925)"
7.263,21.1242,68.2059,984.076,245.753,"(3.12263, -6.46779, -6.63888)","(0.0364992, 0.0189368, 0.0255036)","(-2.26542, 5.39316, 16.5741)"
7.593,21.1496,68.5479,984.05,245.858,"(3.18484, -6.57787, -6.53719)","(0.00794125, 0.0232129, 0.000763581)","(-2.48465, 5.96317, 15.4195)"
7.913,21.1547,68.5202,984.071,245.901,"(3.33559, -6.52881, -6.51446)","(0.0163406, 0.0125227, -0.0481056)","(-2.49927, 5.86086, 15.6387)"
8.233,21.1598,68.4773,984.102,246.196,"(3.32124, -6.58624, -6.48335)","(0.00671952, 0.0203113, 0.0106901)","(-2.44081, 5.55393, 14.3818)"
8.562,21.1445,68.1537,984.051,245.594,"(3.29133, -6.36849, -6.41396)","(-0.00488692, 0.00870483, -0.00839939)","(-2.47004, 5.51008, 14.5571)"
9.019,21.1191,68.1573,984.047,245.901,"(3.42293, -6.50728, -6.46779)","(-0.00992656, -0.00946841, -0.014508)","(-2.70389, 5.39316, 15.9602)"
9.338,21.1445,67.8347,984.067,245.827,"(3.3679, -6.17587, -6.62333)","(-0.145997, 0.0490219, -0.112399)","(-3.47851, 4.03391, 16.121)"
9.655,21.1648,67.6359,984.094,245.975,"(3.71007, -6.0646, -6.64726)","(-0.0795652, 0.0493274, -0.00916297)","(-4.00468, 2.67466, 15.6679)"
9.983,21.1699,67.3391,984.059,245.911,"(3.67537, -6.06221, -6.70827)","(0.0235183, 0.0345139, 0.0302378)","(-3.88775, 2.70389, 15.0833)"
10.303,21.1648,66.939,984.068,246.07,"(3.28534, -6.43071, -7.10309)","(0.444404, -0.0395535, 0.446084)","(-4.45776, 5.78778, 13.651)"
